angle_deg,residual_abs,ecdf
10.0,4.983091076682378e-05,0.06931886678722121
10.0,5.046458841537205e-05,0.0699216395418927
10.0,5.0887185077064245e-05,0.0705244122965642
10.0,5.16472137542523e-05,0.07112718505123568
10.0,5.31495118444858e-05,0.07172995780590717
10.0,5.331698819854847e-05,0.07233273056057866
10.0,5.341496335006801e-05,0.07293550331525014
10.0,5.371762091868626e-05,0.07353827606992164
10.0,5.395472495850484e-05,0.07414104882459313
10.0,5.424526556757625e-05,0.07474382157926461
10.0,5.437706158534228e-05,0.0753465943339361
10.0,5.488495676109206e-05,0.0759493670886076
10.0,5.507849070993109e-05,0.07655213984327909
10.0,5.529444334301248e-05,0.07715491259795057
10.0,5.556707292522778e-05,0.07775768535262206
10.0,5.5903328980533296e-05,0.07836045810729356
